source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
6004354113630708736					4610.0	1.88	-0.24
6435399677151364096							
6632619318341990784	5682.0264	3.9997	-0.3245	0.0439	5697.0	3.67	-0.17
6647966061126936576	6441.8486	3.777	-0.3032	0.0613			
6788705679782109952	6105.6216	4.2238	-0.8452	0.0247	6284.0	4.18	-0.36
6798559846589882496	8885.065	3.7891	-0.7601	0.0355			
6834153821117285376	6048.852	4.2664	-0.0793	0.0004	6256.0	4.26	0.14
170158465309424768	5270.39	4.5241	-0.0983	0.1021	5324.0	4.27	-0.09
886167859017987328	6059.3677	4.1658	-0.0799	0.0777	6221.0	4.25	0.08
1805968876782018176	5870.719	3.7319	-0.7461	0.0099	5786.0	3.58	-0.4
1815674819976466176	4555.6416	2.1544	0.0798	0.6264	4218.0	1.39	-0.26
1839098399077908992					5603.0	3.14	0.12
1884666597636505216	6184.371	4.1107	-0.1708	0.0005	6234.0	4.01	-0.04
1939248794382745728					7363.0	3.6	-1.15
2026073203239249152	7294.4814	3.978	-0.4643	0.7083			
2037342372790050432	8342.379	4.0488	-0.5218	0.4712			
2047603049665023360	4826.445	2.5923	-0.0658	0.1751	4712.0	1.99	-0.13
2298513978237548672	6341.7886	4.0855	-0.1309	0.0003	6075.0	4.39	-0.62
2362181302122125824	6078.248	3.7014	-0.3692	0.0163	6256.0	3.84	-0.15
2629935645028123392	7131.007	4.2644	-0.3855	0.2602			
3128891199919616128	6908.3687	3.8976	-0.3684	0.0509			
3231596585366143360	7598.127	4.1351	-0.3421	0.0062	7020.0	3.92	-0.66
3291688911617247104	6072.1216	4.1824	-0.2249	0.2984	6508.0	4.22	0.01
3379237597997169664	5750.25	4.3812	-0.1864	0.0017	6045.0	4.16	0.14
3439910298884762112	9429.657	3.7348	0.0708	0.4801	7921.0	4.41	-2.51
3519955638737018240	5883.919	4.0766	-0.3889	0.1673	6014.0	4.09	-0.14
3735000631158990976	3038.983	4.2507	-0.7116	0.0	3120.0	3.77	-0.45
3795427247600122240	4412.3555	1.788	-0.0458	0.7136	4077.0	1.0	-0.58
4064064120458701184	6740.2607	2.1756	-1.8291	0.835			
4103070188801935232	7758.2085	3.7525	-0.5634	0.8491			
4132854270808557952							
4150044486609832832					4727.0	2.1	0.07
4314969478445997568	4992.713	2.4109	-0.0573	0.5418	4885.0	1.96	0.02
4319469676430549760	11658.6045	3.6566	-0.8141	1.8534	7800.0	4.18	
4660121743354291328	31290.145	4.1891	-0.9692	0.3018			
5224486493322731648							
5318485048061677952	13452.39	4.1167	0.7969	0.0819			
5333329928197727104							
5334920238684514816	9054.975	3.6532	0.2002	0.6859			
5354423685133179904					7260.0	4.21	
5687035813759862272					4969.0	2.37	0.03
5853425939245650176							
5863384765783967360	7172.156	3.7859	-0.438	0.1095			
5890822253821158784	4991.1426	2.911	-0.0024	0.6081	4827.0	2.25	0.02
5931080322376666880					4250.0	1.5	-0.66
5974344657432634368	10484.653	4.0163	-1.2364	0.7771			
5974742577568184448							
6030675700462520704	7815.1777	4.0813	-0.6663	0.5131			
6072002936613963776					8205.0	4.55	
6177149237874675072	6888.0327	4.0914	-0.751	0.0117			
6269309958917526656	6102.234	4.1607	-0.0911	0.0048	6600.0	4.68	0.23
6434394483004966784	6337.174	3.9955	-0.4289	0.0103	6450.0	4.27	-0.32
6517382631368587392	5540.0063	4.4113	-0.0192	0.1029			
6642612264130037376	7706.967	3.8389	-1.3377	0.0024			
6726174598108551552					8000.0	4.86	-0.6
6726715832701660928	9956.845	3.6926	-1.9211	0.1434			
45845859603381632					7453.0	4.05	-0.76
61122985259600384					3819.0	1.01	-0.16
141963104517995008							
167363712908822656							
419640574235007616					7889.0	4.01	-3.19
636073906234927360	6888.978	3.7095	-0.8751	0.0589			
1604935893042696704	5823.4404	4.3572	-0.2892	0.0009	5962.0	4.91	-0.1
1697484329373666688	5085.4106	2.822	-0.1197	0.2115	4865.0	2.29	-0.17
1801559530219724032	5342.5884	3.4638	-0.1298	0.3396	5387.0	3.76	-0.11
1824568013670013056					4052.0	0.83	-0.29
1837253388514664192							
1857464302018048000	7951.731	3.5373	-0.1013	0.3452	7589.0	3.7	-0.41
2002743426231650432					4347.0	1.63	-0.12
2033220101882305024	4982.9595	2.7522	-0.0604	0.1467	4848.0	2.4	0.09
2072991121060252672					5869.0	2.28	0.01
2903034061124067072	6902.9243	4.0136	-0.2602	0.0007	6207.0	3.39	-0.86
3113904963813666560	12178.537	3.7599	-0.8104	0.6442			
3374662152155979392					4244.0	-0.03	-0.4
3391097102210547456	4722.7534	2.5797	0.1619	0.562	4501.0	1.87	0.11
3433778734853541760					4609.0	1.91	-0.23
3434752558557353984	7760.2915	4.2407	-0.3826	0.2829			
4043257168547984384	8118.9546	3.7082	0.082	0.6281			
4045449732236182912	6854.4604	3.8875	-1.0469	0.2564			
4064595940502866816	5065.5884	2.8519	-0.158	0.4158	5024.0	2.64	-0.03
4064731798905626112	8219.817	3.3584	-2.4932	0.0009	7997.0	5.06	
4240029063651141632	10272.109	3.8648	-0.9982	1.2192			
4330014130353477504							
4374988966294231296	4574.5327	4.5909	-0.1207	0.0302	4650.0	4.42	-0.42
4509859220092766208					4250.0	1.5	0.12
4536450737002430336	5748.138	4.2459	-0.1067	0.0044	6164.0	5.05	0.09
4644856055150677632					4250.0	1.5	-0.95
4955728021419070720	6492.822	3.99	-0.3134	0.064			
